"gender","gender_other","residence","residence_other","nationality","nationality_other","task_comp_check1","task_comp_check2","task_comp_check3","comp_check_pr1","comp_check_pr1_do","comp_check_pr2","comp_check_pr2_do","comp_check_comp1","comp_check_comp1_do","comp_check_comp2","comp_check_comp2_do","comp_check_comp3","comp_check_comp3_do","comp_check_comp4","comp_check_comp4_do","comp_choice","pract_choice","conf_rank","better_gender_guess","perc_task_gender_pract","perc_gender_comp","risk","calc1","calc2","calc3","calc4","calc5","perc_gen_gender_pract","age","race_ethnicity","race_ethnicity_other","income","education","unclear","condition","task_score","comp_choice_do","pract_count1","pract_count2","pract_count3","pract_count4","pract_count5","pract_count6","pract_count7","pract_count8","pract_count9","pract_count10","pract_count11","pract_count12","task_comp_check_acc","pay_comp_check_acc","n_comp_wrong","total_review_count","id"
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$12|$0|$.25",NA,NA,"$24","$2|$0|$.25|$24",NA,NA,"$0","$24|$.25|$0|$2",NA,NA,"piecerate","No",50,"Women","Women","Men",7,"Faster","No","Yes","Faster","Women","Women",25,"White/Caucasian",NA,"$30,000 to $40,000","Graduate Degree","No","pract",70,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$1.20|$12|$0",NA,NA,"$24","$0|$24|$2|$.25",NA,NA,"$0","$0|$2|$.25|$24",NA,NA,"piecerate","No",0,"Men","Women","Men",0,"Faster","No","No","Faster","Men","Women",33,"White/Caucasian,Hispanic/Latino",NA,"$60,000 to $70,000","High School Diploma",NA,"control",42,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$12|$1.20|$0",NA,NA,"$24","$.25|$2|$0|$24",NA,NA,"$0","$.25|$2|$0|$24",NA,NA,"piecerate","No",30,"Men","Women","Men",4,"Faster","No","Yes","Faster","Men","Women",26,"Hispanic/Latino",NA,"$10,000 to $20,000","Some College",NA,"control",53,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$1.20|$12|$.25",NA,NA,"$24","$24|$0|$.25|$2",NA,NA,"$0","$24|$0|$2|$.25",NA,NA,"piecerate","No",90,"Women","Women","Men",4,"Slower","No","No","Slower","Men","Women",29,"White/Caucasian",NA,"$20,000 to $30,000","Graduate Degree",NA,"pract",75,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$12|$0|$1.20",NA,NA,"$24","$.25|$24|$2|$0",NA,NA,"$0","$0|$.25|$2|$24",NA,NA,"tournament","No",60,"Women","Women","Men",7,"Slower","No","No","Slower","Men","Women",29,"East Asian",NA,"$30,000 to $40,000","Bachelor's Degree",NA,"control",124,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$.25|$0|$1.20",NA,NA,"$24","$2|$24|$0|$.25",NA,NA,"$0","$24|$0|$2|$.25",NA,NA,"tournament","No",70,"Women","Women","Men",7,"Slower","No","No","Slower","Women","Women",51,"White/Caucasian",NA,"$20,000 to $30,000","Bachelor's Degree","no","control",63,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$12|$1.20|$0",NA,NA,"$24","$0|$2|$24|$.25",NA,NA,"$0","$2|$24|$.25|$0",NA,NA,"tournament","No",90,"Men","Women","Men",8,"Slower","No","No","Slower","Men","Women",26,"White/Caucasian",NA,"$30,000 to $40,000","Bachelor's Degree",NA,"pract",98,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$.25|$0|$12",NA,NA,"$0","$2|$24|$.25|$0","$28","$0|$28|$2|$.25","$0","$24|$0|$2|$.25",NA,NA,"tournament","No",60,"Women","Men","Men",7,"Slower","No","Yes","Slower","Men","Women",45,"White/Caucasian",NA,"$10,000 to $20,000","Some College",NA,"control",73,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$.25|$12|$1.20",NA,NA,"$24","$0|$.25|$24|$2",NA,NA,"$2","$24|$2|$.25|$0","$0","$.25|$0|$28|$2","piecerate","No",60,"Women","Women","Men",8,"Slower","No","Yes","Slower","Men","Women",28,"White/Caucasian",NA,"$50,000 to $60,000","Some College",NA,"control",47,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$.25|$1.20|$0|$12","$14","$0|$14|$1.40|$.25","$24","$24|$.25|$0|$2",NA,NA,"$0","$24|$.25|$2|$0",NA,NA,"tournament","Yes",70,"Men","Women","Men",9,"Slower","Yes","Yes","Slower","Men","Women",30,"White/Caucasian",NA,"$20,000 to $30,000","Some College",NA,"pract",54,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$0|$12|$1.20",NA,NA,"$24","$.25|$0|$24|$2",NA,NA,"$0","$2|$0|$24|$.25",NA,NA,"piecerate","Yes",40,"Men","Women","Women",3,"Slower","No","Yes","Slower","Men","Women",24,"East Asian",NA,"$30,000 to $40,000","Bachelor's Degree",NA,"control",53,"tournament_first",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,21
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$.25|$0|$12",NA,NA,"$24","$0|$.25|$2|$24",NA,NA,"$0","$.25|$24|$2|$0",NA,NA,"piecerate","No",80,"Men","Women","Men",7,"Slower","No","Yes","Slower","Women","Women",36,"White/Caucasian",NA,"$90,000 to $100,000","Bachelor's Degree",NA,"pract",72,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$0|$1.20|$12",NA,NA,"$24","$.25|$24|$0|$2",NA,NA,"$0","$2|$0|$.25|$24",NA,NA,"tournament","Yes",80,"Women","Women","Men",10,"Slower","No","Yes","Slower","Women","Women",29,"White/Caucasian",NA,"$70,000 to $80,000","Bachelor's Degree","Everything was easy to understand.","pract",45,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$1.20|$.25|$0",NA,NA,"$24","$.25|$24|$0|$2",NA,NA,"$0","$2|$24|$0|$.25",NA,NA,"piecerate","No",50,"Women","Women","Men",5,"Slower","No","No","Slower","Men","Women",61,"White/Caucasian",NA,"$20,000 to $30,000","Some College",NA,"pract",55,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$0|$1.20|$.25|$12","$14","$1.40|$.25|$14|$0","$24","$0|$.25|$2|$24",NA,NA,"$0.25","$2|$24|$0|$.25","$0","$28|$0|$.25|$2","tournament","No",60,"Women","Women","Men",7,"Faster","No","No","Faster","Women","Men",30,"Black/African-American",NA,"$50,000 to $60,000","Bachelor's Degree",NA,"pract",27,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,25
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$1.20|$12|$.25",NA,NA,"$24","$24|$0|$.25|$2",NA,NA,"$0","$.25|$2|$0|$24",NA,NA,"piecerate","No",50,"Men","Women","Men",6,"Slower","No","No","Slower","Women","Women",64,"White/Caucasian",NA,"$90,000 to $100,000","Bachelor's Degree","all good","control",53,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$0|$.25|$12",NA,NA,"$24","$0|$.25|$2|$24",NA,NA,"$24","$2|$0|$24|$.25","$0","$.25|$2|$0|$28","piecerate","No",40,"Women","Women","Women",6,"Slower","No","Yes","Slower","Men","Men",24,"Black/African-American",NA,"$90,000 to $100,000","Some College",NA,"pract",34,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,27
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$12|$1.20|$0|$.25","$14","$14|$0|$1.40|$.25","$24","$.25|$2|$0|$24",NA,NA,"$0","$0|$2|$.25|$24",NA,NA,"tournament","No",70,"Women","Women","Men",1,"Slower","No","Yes","Slower","Men","Women",28,"White/Caucasian",NA,"$20,000 to $30,000","Bachelor's Degree",NA,"control",73,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,28
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$.25|$1.20|$0",NA,NA,"$24","$0|$.25|$24|$2",NA,NA,"$0","$0|$24|$.25|$2",NA,NA,"piecerate","No",70,"Women","Women","Men",7,"Slower","No","Yes","Slower","Men","Women",37,"Other (please specify)","multi racial","$100,000 to $200,00","Some College","no","pract",21,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$1.20|$.25|$12",NA,NA,"$24","$24|$2|$0|$.25",NA,NA,"$0","$.25|$24|$0|$2",NA,NA,"piecerate","Yes",90,"Women","Women","Men",5,"Slower","No","No","Slower","Men","Women",44,"White/Caucasian",NA,"$50,000 to $60,000","Some College",NA,"pract",74,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$0|$12|$1.20",NA,NA,"$24","$.25|$2|$0|$24",NA,NA,"$0","$.25|$24|$0|$2",NA,NA,"piecerate","Yes",60,"Women","Men","Men",6,"Slower","No","No","Slower","Men","Women",27,"White/Caucasian",NA,"$30,000 to $40,000","Some College","No.","control",68,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$12|$1.20|$.25",NA,NA,"$24","$0|$2|$24|$.25",NA,NA,"$0","$24|$0|$2|$.25",NA,NA,"piecerate","No",90,"Women","Men","Women",2,"Slower","No","Yes","Slower","Men","Men",49,"White/Caucasian",NA,"$50,000 to $60,000","High School Diploma",NA,"pract",84,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$.25|$1.20|$12",NA,NA,"$24","$24|$0|$.25|$2",NA,NA,"$0","$0|$2|$24|$.25",NA,NA,"piecerate","No",90,"Men","Women","Men",4,"Slower","No","Yes","Slower","Men","Women",33,"Hispanic/Latino",NA,"$40,000 to $50,000","Some College",NA,"control",43,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$12|$.25|$0",NA,NA,"$24","$24|$2|$0|$.25",NA,NA,"$0","$24|$2|$0|$.25",NA,NA,"piecerate","No",90,"Men","Women","Men",3,"Slower","No","No","Slower","Women","Women",42,"White/Caucasian",NA,"$30,000 to $40,000","Bachelor's Degree",NA,"pract",90,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$12|$1.20|$0",NA,NA,"$24","$.25|$0|$24|$2",NA,NA,"$0","$2|$24|$0|$.25",NA,NA,"piecerate","No",40,"Men","Women","Men",3,"Slower","No","No","Slower","Men","Women",35,"East Asian",NA,"Less than $10,000","Bachelor's Degree",NA,"control",46,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$0|$12|$1.20|$.25","$14","$0|$14|$.25|$1.40","$24","$24|$.25|$2|$0",NA,NA,"$24","$.25|$24|$0|$2","$0","$0|$2|$.25|$28","piecerate","Yes",50,"Men","Women","Men",3,"Slower","No","No","Slower","Women","Women",48,"White/Caucasian",NA,"$50,000 to $60,000","High School Diploma",NA,"control",71,"tournament_first",0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,36
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$0|$.25|$12",NA,NA,"$24","$2|$24|$.25|$0",NA,NA,"$0","$.25|$2|$0|$24",NA,NA,"piecerate","Yes",70,"Women","Women","Men",3,"Slower","No","No","Slower","Women","Women",45,"White/Caucasian",NA,"$10,000 to $20,000","Some College","no","control",69,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$0|$.25|$1.20",NA,NA,"$24","$2|$24|$.25|$0",NA,NA,"$0","$24|$0|$.25|$2",NA,NA,"piecerate","Yes",40,"Men","Women","Men",5,"Slower","No","No","Slower","Women","Women",48,"Hispanic/Latino",NA,"$40,000 to $50,000","Bachelor's Degree",NA,"control",79,"pr_first",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$1.20|$12|$.25",NA,NA,"$24","$24|$2|$.25|$0",NA,NA,"$0","$2|$0|$.25|$24",NA,NA,"piecerate","No",50,"Women","Men","Men",10,"Slower","No","No","Slower","Men","Women",28,"Black/African-American",NA,"$30,000 to $40,000","Bachelor's Degree",NA,"pract",36,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$12|$.25|$0",NA,NA,"$24","$.25|$2|$24|$0",NA,NA,"$0","$0|$2|$24|$.25",NA,NA,"tournament","Yes",80,"Men","Women","Men",8,"Slower","No","Yes","Slower","Men","Women",31,"White/Caucasian",NA,"$40,000 to $50,000","Bachelor's Degree",NA,"pract",47,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$12|$.25|$0|$1.20","$14","$14|$.25|$1.40|$0","$24","$2|$0|$24|$.25",NA,NA,"$0","$24|$0|$2|$.25",NA,NA,"piecerate","Yes",60,"Men","Women","Men",6,"Slower","No","Yes","Slower","Women","Women",52,"White/Caucasian",NA,"Over $200,000","Graduate Degree","no","pract",64,"pr_first",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,41
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$0|$.25|$12",NA,NA,"$2","$24|$0|$.25|$2","$28","$28|$0|$2|$.25","$0","$0|$2|$.25|$24",NA,NA,"piecerate","No",70,"Men","Women","Men",7,"Slower","No","No","Slower","Women","Women",33,"White/Caucasian",NA,"$60,000 to $70,000","Graduate Degree",NA,"pract",73,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,42
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$0|$.25|$12",NA,NA,"$24","$2|$.25|$24|$0",NA,NA,"$24","$24|$0|$2|$.25","$0","$0|$28|$2|$.25","piecerate","No",50,"Women","Women","Men",5,"Faster","No","Yes","Faster","Men","Women",37,"White/Caucasian",NA,"$30,000 to $40,000","High School Diploma","nope","control",40,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,43
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$1.20|$12|$0|$.25","$14","$.25|$14|$1.40|$0","$24","$.25|$24|$2|$0",NA,NA,"$0","$0|$2|$.25|$24",NA,NA,"piecerate","No",50,"Men","Women","Men",7,"Slower","No","Yes","Slower","Women","Women",24,"White/Caucasian",NA,"$10,000 to $20,000","Some College",NA,"control",54,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,44
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$1.20|$12|$0",NA,NA,"$24","$2|$.25|$0|$24",NA,NA,"$0","$2|$24|$.25|$0",NA,NA,"piecerate","Yes",60,"Men","Women","Men",2,"Slower","Yes","Yes","Slower","Men","Women",28,"White/Caucasian",NA,"$70,000 to $80,000","Bachelor's Degree","Nope","control",66,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$.25|$12|$1.20",NA,NA,"$24","$2|$24|$.25|$0",NA,NA,"$0","$24|$.25|$2|$0",NA,NA,"piecerate","No",60,"Men","Women","Men",3,"Slower","No","Yes","Slower","Women","Women",43,"White/Caucasian",NA,"$10,000 to $20,000","Graduate Degree",NA,"control",76,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$1.20|$12|$.25|$0","$14","$1.40|$14|$0|$.25","$24","$.25|$2|$24|$0",NA,NA,"$24","$.25|$2|$24|$0","$0","$28|$0|$.25|$2","piecerate","No",60,"Men","Women","Men",7,"Slower","No","No","Slower","Women","Women",36,"White/Caucasian",NA,"$40,000 to $50,000","Some College","no","pract",67,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,47
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$1.20|$.25|$12",NA,NA,"$24","$0|$2|$.25|$24",NA,NA,"$0","$0|$.25|$2|$24",NA,NA,"tournament","Yes",60,"Men","Women","Men",4,"Slower","No","Yes","Slower","Men","Women",32,"White/Caucasian",NA,"$10,000 to $20,000","Bachelor's Degree","no","pract",69,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$.25|$0|$1.20",NA,NA,"$24","$24|$2|$0|$.25",NA,NA,"$0","$2|$.25|$0|$24",NA,NA,"piecerate","No",60,"Women","Women","Men",3,"Slower","No","No","Slower","Women","Men",59,"White/Caucasian",NA,"$20,000 to $30,000","Some College","It was all clear.","control",83,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"Man",NA,"United States",NA,"American",NA,"36","2",NA,"$12","$1.20|$.25|$12|$0",NA,NA,"$24","$.25|$24|$2|$0",NA,NA,"$0","$.25|$0|$2|$24",NA,NA,"piecerate","Yes",60,"Men","Men","Men",6,"Faster","No","Yes","Faster","Men","Men",28,"White/Caucasian",NA,"$50,000 to $60,000","Bachelor's Degree",NA,"control",54,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,50
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$12|$1.20|$.25|$0",NA,NA,"$24","$24|$0|$.25|$2",NA,NA,"$0","$2|$0|$24|$.25",NA,NA,"piecerate","Yes",70,"Men","Women","Men",2,"Slower","No","No","Slower","Men","Women",50,"White/Caucasian",NA,"$20,000 to $30,000","Bachelor's Degree",NA,"control",69,"pr_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$1.20|$0|$12|$.25",NA,NA,"$24","$2|$.25|$24|$0",NA,NA,"$0","$.25|$24|$0|$2",NA,NA,"piecerate","No",10,"Men","Women","Men",3,"Slower","No","No","Slower","Men","Women",24,"White/Caucasian",NA,"$30,000 to $40,000","Bachelor's Degree",NA,"control",61,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$1.20","$.25|$0|$1.20|$12","$14","$0|$1.40|$.25|$14","$2","$24|$0|$.25|$2","$28","$0|$2|$.25|$28","$0","$2|$0|$.25|$24",NA,NA,"tournament","Yes",30,"Men","Men","Men",4,"Slower","No","Yes","Slower","Men","Men",18,"White/Caucasian",NA,"Less than $10,000","High School Diploma",NA,"pract",55,"pr_first",0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,53
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$0|$12|$1.20",NA,NA,"$24","$.25|$24|$2|$0",NA,NA,"$0","$.25|$0|$2|$24",NA,NA,"piecerate","No",50,"Women","Women","Men",3,"Slower","No","No","Slower","Women","Women",47,"White/Caucasian",NA,"$100,000 to $200,00","Graduate Degree","no","pract",49,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$1.20|$.25|$12",NA,NA,"$24","$0|$2|$24|$.25",NA,NA,"$0","$24|$2|$.25|$0",NA,NA,"tournament","Yes",80,"Men","Women","Men",7,"Slower","No","No","Slower","Women","Women",29,"White/Caucasian",NA,"$50,000 to $60,000","Bachelor's Degree",NA,"pract",121,"pr_first",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55
"Woman",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$.25|$12|$1.20|$0",NA,NA,"$24","$2|$0|$.25|$24",NA,NA,"$24","$0|$.25|$2|$24","$0","$2|$.25|$28|$0","piecerate","No",50,"Men","Women","Men",3,"Slower","No","No","Slower","Men","Women",42,"White/Caucasian",NA,"$40,000 to $50,000","Graduate Degree","n/a","pract",65,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56
"Man",NA,"United States",NA,"American",NA,"48",NA,NA,"$12","$0|$.25|$12|$1.20",NA,NA,"$24","$24|$.25|$0|$2",NA,NA,"$0","$0|$24|$2|$.25",NA,NA,"tournament","Yes",80,"Women","Women","Men",10,"Slower","No","Yes","Slower","Women","Women",19,"Hispanic/Latino",NA,"Over $200,000","Some College","no","pract",44,"tournament_first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
